Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Levy, DR; Sloss, EA; Chartash, D; Corley, ST; Mishuris, RG; Rosenbloom, ST; Tiase, VL",,,,"Levy, Deborah R. R.; Sloss, Elizabeth A. A.; Chartash, David; Corley, Sarah T. T.; Mishuris, Rebecca G. G.; Rosenbloom, S. Trent; Tiase, Victoria L. L.",,,Reflections on the Documentation Burden Reduction AMIA Plenary Session through the Lens of 25 x 5,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Sloss, Elizabeth/0000-0003-2071-5495; Corley, Sarah/0009-0005-2098-5905",,,,,,,,,,,,,1869-0327,,,,,JAN,2023,14,1,,,,,11,15,,10.1055/a-1976-2052,http://dx.doi.org/10.1055/a-1976-2052,,,,,,,,36356593,,,,,WOS:000907678400002,View Full Record in Web of Science
J,"Rodríguez-Fernández, JM; Loeb, JA; Hier, DB",,,,"Rodriguez-Fernandez, Jorge M.; Loeb, Jeffrey A.; Hier, Daniel B.",,,It's time to change our documentation philosophy: writing better neurology notes without the burnout,FRONTIERS IN DIGITAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673-253X,,,,NOV 28,2022,4,,,,,,,,1063141,10.3389/fdgth.2022.1063141,http://dx.doi.org/10.3389/fdgth.2022.1063141,,,,,,,,36518562,,,,,WOS:001033148400001,View Full Record in Web of Science
J,"Rotenstein, LS; Apathy, N; Holmgren, AJ; Bates, DW",,,,"Rotenstein, Lisa S.; Apathy, Nate; Holmgren, A. Jay; Bates, David W.",,,"Physician Note Composition Patterns and Time on the EHR Across Specialty Types: a National, Cross-sectional Study",JOURNAL OF GENERAL INTERNAL MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884-8734,1525-1497,,,,APR,2023,38,5,,,,,1119,1126,,10.1007/s11606-022-07834-5,http://dx.doi.org/10.1007/s11606-022-07834-5,,NOV 2022,,,,,,36418647,,,,,WOS:000886820200001,View Full Record in Web of Science
J,"Nguyen, OT; Turner, K; Parekh, A; Tabriz, AA; Hanna, K; Merlo, LJ; Hong, YR",,,,"Nguyen, Oliver T.; Turner, Kea; Parekh, Arpan; Tabriz, Amir Alishahi; Hanna, Karim; Merlo, Lisa J.; Hong, Young-Rock",,,Merit-based incentive payment system participation and after-hours documentation among US office-based physicians: Findings from the 2021 National Electronic Health Records Survey,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,,,,,,,,,,,,,,,,,"Merlo, Lisa J./AAU-9179-2020; Hong, Young-Rock/AAK-8856-2020","Merlo, Lisa J./0000-0003-3613-7853; Hong, Young-Rock/0000-0002-0366-5687; Nguyen, Oliver/0000-0003-2852-7106",,,,,,,,,,,,,1356-1294,1365-2753,,,,MAR,2023,29,2,,,,,397,402,,10.1111/jep.13796,http://dx.doi.org/10.1111/jep.13796,,NOV 2022,,,,,,36416004,,,,,WOS:000888002000001,View Full Record in Web of Science
J,"Apathy, NC; Rotenstein, L; Bates, DW; Holmgren, AJ",,,,"Apathy, Nate C.; Rotenstein, Lisa; Bates, David W.; Holmgren, A. Jay",,,"Documentation dynamics: Note composition, burden, and physician efficiency",HEALTH SERVICES RESEARCH,,,,,,,,,,,,,,,,,,"Apathy, Nate/0000-0002-7775-8544",,,,,,,,,,,,,0017-9124,1475-6773,,,,JUN,2023,58,3,,,,,674,685,,10.1111/1475-6773.14097,http://dx.doi.org/10.1111/1475-6773.14097,,NOV 2022,,,,,,36342001,,,,,WOS:000887993500001,View Full Record in Web of Science
J,"Apathy, NC; Hare, AJ; Fendrich, S; Cross, DA",,,,"Apathy, Nate C.; Hare, Allison J.; Fendrich, Sarah; Cross, Dori A.",,,I had not time to make it shorter: an exploratory analysis of how physicians reduce note length and time in notes,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Apathy, Nate/0000-0002-7775-8544",,,,,,,,,,,,,1067-5027,1527-974X,,,,JAN 18,2023,30,2,,,,,355,360,,10.1093/jamia/ocac211,http://dx.doi.org/10.1093/jamia/ocac211,,NOV 2022,,,,,,36323282,,,,,WOS:000877802600001,View Full Record in Web of Science
J,"Iscoe, MS; McLean, RM; Melnick, ER",,,,"Iscoe, Mark S.; McLean, Robert M.; Melnick, Edward R.",,,Restoring Meaningful Content to the Medical Record: Standardizing Measurement Could Improve EHR Utility While Decreasing Burden,MAYO CLINIC PROCEEDINGS,,,,,,,,,,,,,,,,,,"Melnick, Edward/0000-0002-6509-9537",,,,,,,,,,,,,0025-6196,1942-5546,,,,NOV,2022,97,11,,,,,1971,1974,,10.1016/j.mayocp.2022.07.007,http://dx.doi.org/10.1016/j.mayocp.2022.07.007,,NOV 2022,,,,,,36210197,,,,,WOS:000898493000006,View Full Record in Web of Science
J,"Gesner, E; Dykes, PC; Zhang, LL; Gazarian, P",,,,"Gesner, Emily; Dykes, Patricia C.; Zhang, Lingling; Gazarian, Priscilla",,,Documentation Burden in Nursing and Its Role in Clinician Burnout Syndrome,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869-0327,,,,,OCT,2022,13,5,,,,,983,990,,10.1055/s-0042-1757157,http://dx.doi.org/10.1055/s-0042-1757157,,,,,,,,36261113,,,,,WOS:000869939800001,View Full Record in Web of Science
J,"Rule, A; Melnick, ER; Apathy, NC",,,,"Rule, Adam; Melnick, Edward R.; Apathy, Nate C.",,,Using event logs to observe interactions with electronic health records: an updated scoping review shows increasing use of vendor-derived measures,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Melnick, Edward/0000-0002-6509-9537; Rule, Adam/0000-0003-2441-3320; Apathy, Nate/0000-0002-7775-8544",,,,,,,,,,,,,1067-5027,1527-974X,,,,DEC 13,2022,30,1,,,,,144,154,,10.1093/jamia/ocac177,http://dx.doi.org/10.1093/jamia/ocac177,,SEP 2022,,,,,,36173361,,,,,WOS:000861480600001,View Full Record in Web of Science
J,"Hadland, M; Smyth, W; Craswell, A; Kearney, L; Nagle, C",,,,"Hadland, Mariann; Smyth, Wendy; Craswell, Alison; Kearney, Lauren; Nagle, Cate",,,Being with computer: Midwives' perspectives of the impact of the electronic maternity record on their practice providing woman-centred care,WOMEN AND BIRTH,,,,,,,,,,,,,,,,,"Smyth, Wendy/N-6057-2016; Smyth, Wendy/IAM-7520-2023","Smyth, Wendy/0000-0002-2783-3593;",,,,,,,,,,,,,1871-5192,1878-1799,,,,SEP,2022,35,,,1,,O50,S20,S20,,10.1016/j.wombi.2022.07.056,http://dx.doi.org/10.1016/j.wombi.2022.07.056,,,,,,,,,,,,,WOS:000898199200055,View Full Record in Web of Science
J,"Strudwick, G; Jeffs, L; Kemp, J; Sequeira, L; Lo, B; Shen, N; Paterson, P; Coombe, N; Yang, L; Ronald, K; Wang, W; Pagliaroli, S; Tajirian, T; Ling, S; Jankowicz, D",,,,"Strudwick, Gillian; Jeffs, Lianne; Kemp, Jessica; Sequeira, Lydia; Lo, Brian; Shen, Nelson; Paterson, Petroiya; Coombe, Noelle; Yang, Lily; Ronald, Kara; Wang, Wei; Pagliaroli, Sonia; Tajirian, Tania; Ling, Sara; Jankowicz, Damian",,,Identifying and adapting interventions to reduce documentation burden and improve nurses' efficiency in using electronic health record systems (The IDEA Study): protocol for a mixed methods study,BMC NURSING,,,,,,,,,,,,,,,,,"Tajirian, Tania/ITU-5811-2023; Jeffs, Lianne P/U-9147-2018",,,,,,,,,,,,,,1472-6955,,,,,AUG 4,2022,21,1,,,,,,,213,10.1186/s12912-022-00989-w,http://dx.doi.org/10.1186/s12912-022-00989-w,,,,,,,,35927701,,,,,WOS:000836218300001,View Full Record in Web of Science
J,"Ebbers, T; Kool, RB; Smeele, LE; Takes, RP; van den Broek, GB; Dirven, R",,,,"Ebbers, Tom; Kool, Rudolf B.; Smeele, Ludi E.; Takes, Robert P.; van den Broek, Guido B.; Dirven, Richard",,,Quantifying the Electronic Health Record Burden in Head and Neck Cancer Care,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,"van den Broek, G.B./L-4229-2015; Takes, R.P./L-4680-2015; Kool, Rudolf B/L-4447-2015","Kool, Rudolf B/0000-0003-3134-487X",,,,,,,,,,,,,1869-0327,,,,,AUG,2022,13,4,,,,,857,864,,10.1055/s-0042-1756422,http://dx.doi.org/10.1055/s-0042-1756422,,,,,,,,36104154,,,,,WOS:000853632700002,View Full Record in Web of Science
J,"Wurster, F; Fütterer, G; Beckmann, M; Dittmer, K; Jaschke, J; Köberlein-Neu, J; Okumu, MR; Rusniok, C; Pfaff, H; Karbach, U",,,,"Wurster, Florian; Futterer, Garret; Beckmann, Marina; Dittmer, Kerstin; Jaschke, Julia; Koeberlein-Neu, Juliane; Okumu, Mi-Ran; Rusniok, Carsten; Pfaff, Holger; Karbach, Ute",,,The Analyzation of Change in Documentation due to the Introduction of Electronic Patient Records in Hospitals-A Systematic Review,JOURNAL OF MEDICAL SYSTEMS,,,,,,,,,,,,,,,,,"Pfaff, Holger/D-2630-2009","Pfaff, Holger/0000-0001-9154-6575; Karbach, Ute/0000-0003-3479-9474; Jaschke, Julia Christina/0000-0003-3424-2588; Wurster, Florian/0000-0001-5527-9238",,,,,,,,,,,,,0148-5598,1573-689X,,,,JUL 4,2022,46,8,,,,,,,54,10.1007/s10916-022-01840-0,http://dx.doi.org/10.1007/s10916-022-01840-0,,,,,,,,35781136,,,,,WOS:000820623300001,View Full Record in Web of Science
J,"Avendano, JP; Gallagher, DO; Hawes, JD; Boyle, J; Glasser, L; Aryee, J; Katt, BM",,,,"Avendano, John P.; Gallagher, Daniel O.; Hawes, Joseph D.; Boyle, Joseph; Glasser, Laurie; Aryee, Jomar; Katt, Brian M.",,,Interfacing With the Electronic Health Record (EHR): A Comparative Review of Modes of Documentation,CUREUS JOURNAL OF MEDICAL SCIENCE,,,,,,,,,,,,,,,,,"Aryee, Jomar/AFS-7364-2022","Aryee, Jomar/0000-0003-4424-2426; Boyle, Joseph/0000-0002-1223-0191",,,,,,,,,,,,,,2168-8184,,,,JUN 25,2022,14,6,,,,,,,e26330,10.7759/cureus.26330,http://dx.doi.org/10.7759/cureus.26330,,,,,,,,35911305,,,,,WOS:000836321900018,View Full Record in Web of Science
J,"Benko, S; Idarraga, AJ; Bohl, DD; Hamid, KS",,,,"Benko, Savannah; Idarraga, Alex J.; Bohl, Daniel D.; Hamid, Kamran S.",,,Virtual Scribe Services Decrease Documentation Burden Without Affecting Patient Satisfaction: A Randomized Controlled Trial,FOOT & ANKLE SPECIALIST,,,,,,,,,,,,,,,,,"Bohl, Daniel D/AAI-6828-2020","Bohl, Daniel D/0000-0002-7599-4244",,,,,,,,,,,,,1938-6400,1938-7636,,,,JUN,2022,15,3,,,,,252,257,,10.1177/1938640020950544,http://dx.doi.org/10.1177/1938640020950544,,,,,,,,32844674,,,,,WOS:000813280200006,View Full Record in Web of Science
J,"Attipoe, S; Hoffman, J; Rust, S; Huang, YG; Barnard, JA; Schweikhart, S; Hefner, JL; Walker, DM; Linwood, S",,,,"Attipoe, Selasi; Hoffman, Jeffrey; Rust, Steve; Huang, Yungui; Barnard, John A.; Schweikhart, Sharon; Hefner, Jennifer L.; Walker, Daniel M.; Linwood, Simon",,,Characterization of Electronic Health Record Use Outside Scheduled Clinic Hours Among Primary Care Pediatricians: Retrospective Descriptive Task Analysis of Electronic Health Record Access Log Data,JMIR MEDICAL INFORMATICS,,,,,,,,,,,,,,,,,"Linwood, Simon L/L-8804-2014; Hefner, Jennifer/P-5962-2014; Attipoe, Selasi/G-1938-2015","Linwood, Simon L/0000-0003-2876-2042; Hefner, Jennifer/0000-0001-8083-8038; Schweikhart, Sharon/0000-0002-1436-6666; Attipoe, Selasi/0000-0001-9212-8412; Huang, Yungui/0000-0003-3265-9902; Hoffman, Jeffrey/0000-0003-4632-4943",,,,,,,,,,,,,,2291-9694,,,,MAY,2022,10,5,,,,,,,e34787,10.2196/34787,http://dx.doi.org/10.2196/34787,,,,,,,,35551055,,,,,WOS:000809334500013,View Full Record in Web of Science
J,"Lindsay, MR; Lytle, K",,,,"Lindsay, Mary R.; Lytle, Kay",,,Implementing Best Practices to Redesign Workflow and Optimize Nursing Documentation in the Electronic Health Record,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Lytle, Kathryn/0000-0001-9845-1501",,,,,,,,,,,,,1869-0327,,,,,MAY,2022,13,3,,,,,711,719,,10.1055/a-1868-6431,http://dx.doi.org/10.1055/a-1868-6431,,,,,,,,35668677,,,,,WOS:000827788800001,View Full Record in Web of Science
J,"Rose, A; Cooley, A; Yap, TL; Alderden, J; Sabol, VK; Lin, JRA; Brooks, K; Kennerly, SM",,,,"Rose, Angelia; Cooley, Annemari; Yap, Tracey L.; Alderden, Jenny; Sabol, Valerie K.; Lin, Jiunn-Ru (Angela); Brooks, Katie; Kennerly, Susan M.",,,Increasing Nursing Documentation Efficiency With Wearable Sensors for Pressure Injury Prevention,CRITICAL CARE NURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0279-5442,1940-8250,,,,APR 1,2022,42,2,,,,,14,22,,10.4037/ccn2022116,http://dx.doi.org/10.4037/ccn2022116,,,,,,,,35362082,,,,,WOS:000809894000058,View Full Record in Web of Science
J,"Gaffney, A; Woolhandler, S; Cai, C; Bor, D; Himmelstein, J; McCormick, D; Himmelstein, DU",,,,"Gaffney, Adam; Woolhandler, Stephanie; Cai, Christopher; Bor, David; Himmelstein, Jessica; McCormick, Danny; Himmelstein, David U.",,,Medical Documentation Burden Among US Office-Based Physicians in 2019: A National Study,JAMA INTERNAL MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168-6106,2168-6114,,,,MAY,2022,182,5,,,,,564,566,,10.1001/jamainternmed.2022.0372,http://dx.doi.org/10.1001/jamainternmed.2022.0372,,MAR 2022,,,,,,35344006,,,,,WOS:000776740000004,View Full Record in Web of Science
J,"Hobensack, M; Levy, DR; Cato, K; Detmer, DE; Johnson, KB; Williamson, J; Murphy, J; Moy, A; Withall, J; Lee, R; Rossetti, SC; Rosenbloom, ST",,,,"Hobensack, Mollie; Levy, Deborah R.; Cato, Kenrick; Detmer, Don E.; Johnson, Kevin B.; Williamson, Jeffrey; Murphy, Judy; Moy, Amanda; Withall, Jennifer; Lee, Rachel; Rossetti, Sarah Collins; Rosenbloom, Samuel Trent",,,25 x 5 Symposium to Reduce Documentation Burden: Report-out and Call for Action,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,"Lee, Rachel S.K./HNI-5213-2023","Lee, Rachel S.K./0000-0002-8358-8182; Levy, Deborah R/0000-0002-7324-3455",,,,,,,,,,,,,1869-0327,,,,,MAR,2022,13,2,,,,,439,446,,10.1055/s-0042-1746169,http://dx.doi.org/10.1055/s-0042-1746169,,,,,,,,35545125,,,,,WOS:000793428700001,View Full Record in Web of Science
J,"Clarke, MA; Ghersi, D",,,,"Clarke, Martina A.; Ghersi, Dario",,,Electronic health record (EHR) simulation into biomedical informatics course improves students' understanding of the impact of EHR documentation burden and usability on clinical workflow,HEALTH AND TECHNOLOGY,,,,,,,,,,,,,,,,,,"Clarke, Martina/0000-0002-4905-4566",,,,,,,,,,,,,2190-7188,2190-7196,,,,MAR,2022,12,2,,,,,465,472,,10.1007/s12553-022-00649-8,http://dx.doi.org/10.1007/s12553-022-00649-8,,FEB 2022,,,,,,,,,,,WOS:000760021000001,View Full Record in Web of Science
C,"Camilleri, N; Henks, N; Seo, K; Kim, JH",,"Duffy, VG",,"Camilleri, Natalie; Henks, Nate; Seo, Kangwon; Kim, Jung Hyup",,,EMR Usage and Nurse Documentation Burden in a Medical Intensive Care Unit,"DIGITAL HUMAN MODELING AND APPLICATIONS IN HEALTH, SAFETY, ERGONOMICS AND RISK MANAGEMENT: HEALTH, OPERATIONS MANAGEMENT, AND DESIGN, PT II",Lecture Notes in Computer Science,,,,"13th International Conference on Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management (DHM) Held as Part of the 24th International Conference on Human-Computer Interaction (HCII)","JUN 26-JUL 01, 2022",ELECTR NETWORK,,,,,,,,,,,"Seo, Kangwon/0000-0002-2128-4079",,,,,,,,,,,,,0302-9743,1611-3349,978-3-031-06018-2; 978-3-031-06017-5,,,,2022,13320,,,,,,165,173,,10.1007/978-3-031-06018-2_11,http://dx.doi.org/10.1007/978-3-031-06018-2_11,,,,,,,,,,,,,WOS:000870272800011,View Full Record in Web of Science
J,"Kesler, K; Wynn, M; Pugely, AJ",,,,"Kesler, Kyle; Wynn, Malynda; Pugely, Andrew J.",,,Time and Clerical Burden Posed by the Current Electronic Health Record for Orthopaedic Surgeons,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,,,,,,,,,,,,,,,,,,"Kesler, Kyle/0000-0003-2815-9016",,,,,,,,,,,,,1067-151X,1940-5480,,,,JAN 1,2022,30,1,,,,,E34,E43,,10.5435/JAAOS-D-21-00094,http://dx.doi.org/10.5435/JAAOS-D-21-00094,,,,,,,,34613950,,,,,WOS:000925672900010,View Full Record in Web of Science
J,"Loszko, A; Watson, M; Khan, A; Cunningham, K; Thomas, B; Ross, S; Lauer, C; Sing, R; Sachdev, G",,,,"Loszko, Abigail; Watson, Michael; Khan, Ahsan; Cunningham, Kyle; Thomas, Bradley; Ross, Samuel; Lauer, Cynthia; Sing, Ronald; Sachdev, Gaurav",,,Acute Care Surgeons Spend More Time than General Surgeons on the Electronic Health Record (EHR),AMERICAN SURGEON,,,,,,,,,,,,,,,,,,"Khan, Ahsan/0000-0003-4521-6078; sachdev, gaurav/0000-0003-4779-8681; Loszko, Abigail/0009-0006-0173-194X",,,,,,,,,,,,,0003-1348,1555-9823,,,,MAY,2023,89,5,,,,,1497,1503,3.13482E+13,10.1177/00031348211061102,http://dx.doi.org/10.1177/00031348211061102,,DEC 2021,,,,,,34933572,,,,,WOS:000737994600001,View Full Record in Web of Science
